Newborn after difficult delivery A7K2M9Q4T1XZ	<img src="SDX-02_STATdx_plain_Scalp_and_Skull_Injuries2.jpg"><br><img src="SDX-03_STATdx_plain_Scalp_and_Skull_Injuries3.jpg">	<div class="stackItem"><img src="SDX-02_STATdx_annotated_Scalp_and_Skull_Injuries2_annot.jpg"><div class="stackCap">Bone CT in a newborn with a traumatic delivery shows a linear skull fracture and a cephalohematoma overlying the parietal bone. Note that the cephalohematoma does not cross the sagittal suture .</div></div><div class="stackItem"><img src="SDX-03_STATdx_annotated_Scalp_and_Skull_Injuries3_annot.jpg"><div class="stackCap">NECT in the same patient shows the cephalohematoma . Note the presence of a small intracranial epidural hematoma .</div></div>	Most likely diagnosis?	Cephalohematoma<br><br>Caption-derived keyword findings:<br>linear skull fracture<br>overlying the parietal bone<br>does not cross the sagittal suture<br>small intracranial epidural hematoma<br><br>Reasoning: A focal neonatal scalp blood collection that does not cross a suture matches a subperiosteal cephalohematoma. The associated linear skull fracture and small intracranial epidural hematoma are source-supported traumatic associations in this same-patient pair.<br><br>Differential:<br>Subgaleal hematoma<br>Scalp laceration<br>Normal suture																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Infant with head swelling after trauma B8L3N7P2Q6RA	<img src="SDX-04_STATdx_plain_Scalp_and_Skull_Injuries4.jpg">	<div class="stackItem"><img src="SDX-04_STATdx_annotated_Scalp_and_Skull_Injuries4_annot.jpg"><div class="stackCap">Axial NECT shows an infant with a large subgaleal hematoma. In contrast to cephalohematoma, this subgaleal hematoma crosses the midline and extends nearly all the way around the entire head. Large subgaleal hematomas in infants can cause life-threatening blood loss.</div></div>	Most likely diagnosis?	Subgaleal hematoma<br><br>Caption-derived keyword findings:<br>large<br>crosses the midline<br>extends nearly all the way around the entire head<br>life-threatening blood loss<br><br>Reasoning: The dominant discriminator is a scalp hematoma that is not confined by sutures: it crosses midline and nearly encircles the head. That anatomic spread places it under the scalp aponeurosis/galea rather than under periosteum.<br><br>Differential:<br>Cephalohematoma<br>Scalp laceration<br>Diffuse scalp edema																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Patient after head trauma C4M8T2Q9L5BV	<img src="SDX-06_STATdx_plain_Scalp_and_Skull_Injuries6.jpg">	<div class="stackItem"><img src="SDX-06_STATdx_annotated_Scalp_and_Skull_Injuries6_annot.jpg"><div class="stackCap">Coronal NECT shows a subgaleal hematoma crossing the midline sagittal suture. Skull base & facial fractures & a left frontal skull fracture are better seen on bone windows. Note the pneumocephalus , indicating a fracture through a paranasal sinus through a paranasal sinus or the calvarium.</div></div>	Most likely diagnosis?	Subgaleal hematoma<br><br>Caption-derived keyword findings:<br>crossing the midline sagittal suture<br>skull base & facial fractures<br>left frontal skull fracture<br>pneumocephalus<br><br>Reasoning: A scalp collection crossing the sagittal suture supports subgaleal location. The accompanying skull base/facial/frontal fractures and pneumocephalus emphasize that subgaleal hematoma in trauma often coexists with skull fractures and fracture-related intracranial air.<br><br>Differential:<br>Cephalohematoma<br>Scalp laceration<br>Subdural hematoma																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
48-year-old patient after head trauma D6R1V8X3K9LA	<img src="SDX-07_STATdx_plain_Scalp_and_Skull_Injuries7.jpg"><br><img src="SDX-08_STATdx_plain_Scalp_and_Skull_Injuries8.jpg">	<div class="stackItem"><img src="SDX-07_STATdx_annotated_Scalp_and_Skull_Injuries7_annot.jpg"><div class="stackCap">Axial bone CT in a 48-year-old trauma patient shows a left temporal bone skull fracture that also involves the greater wing of the sphenoid .</div></div><div class="stackItem"><img src="SDX-08_STATdx_annotated_Scalp_and_Skull_Injuries8_annot.jpg"><div class="stackCap">Axial NECT in the same patient shows an associated epidural hematoma in the anterior middle cranial fossa. Skull fractures are commonly associated with epidural hematomas. Note the contrecoup subarachnoid hemorrhage in the right temporal region.</div></div>	Most likely diagnosis?	Temporal bone skull fracture<br><br>Caption-derived keyword findings:<br>left temporal bone skull fracture<br>greater wing of the sphenoid<br>associated epidural hematoma<br>anterior middle cranial fossa<br>contrecoup subarachnoid hemorrhage<br><br>Reasoning: The bone-window image localizes a temporal skull fracture extending into the sphenoid; the companion NECT shows an epidural hematoma in the anterior middle cranial fossa, a source-stated common association of skull fractures.<br><br>Differential:<br>Normal suture<br>Vascular groove<br>Arachnoid granulation																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Patient with delayed scalp deformity E9P4C2H7M1QX	<img src="SDX-09_STATdx_plain_Scalp_and_Skull_Injuries9.jpg"><br><img src="SDX-10_STATdx_plain_Scalp_and_Skull_Injuries10.jpg">	<div class="stackItem"><img src="SDX-09_STATdx_annotated_Scalp_and_Skull_Injuries9_annot.jpg"><div class="stackCap">Axial NECT in a patient with a "growing" skull fracture shows a widened fracture with scalloped margins .</div></div><div class="stackItem"><img src="SDX-10_STATdx_annotated_Scalp_and_Skull_Injuries10_annot.jpg"><div class="stackCap">Axial T2 MR in the same patient shows a lobulated CSF collection filling the "growing" fracture. CSF pulsations have widened and scalloped the calvarium. "Growing" skull fractures are difficult to detect in the acute stage and are often identified on follow-up imaging as a progressively widening, unhealing fracture. On CT, they are lucent lesions with rounded, scalloped margins.</div></div>	Most likely diagnosis?	Growing skull fracture<br><br>Caption-derived keyword findings:<br>widened fracture<br>scalloped margins<br>lobulated CSF collection<br>filling the "growing" fracture<br>progressively widening, unhealing fracture<br>lucent lesions with rounded, scalloped margins<br><br>Reasoning: The key pattern is a fracture defect that progressively widens and develops rounded/scalloped margins, with T2 MR showing CSF filling the defect. The source links this to CSF pulsations and posttraumatic leptomeningeal cyst formation.<br><br>Differential:<br>Arachnoid granulation<br>Venous lake<br>Healing linear skull fracture																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Newborn after difficult assisted delivery F2Q8Z5M1K7NP	<img src="SDX-11_STATdx_plain_Scalp_and_Skull_Injuries11.jpg"><br><img src="SDX-12_STATdx_plain_Scalp_and_Skull_Injuries12.jpg"><br><img src="SDX-13_STATdx_plain_Scalp_and_Skull_Injuries13.jpg">	<div class="stackItem"><img src="SDX-11_STATdx_annotated_Scalp_and_Skull_Injuries11_annot.jpg"><div class="stackCap">Axial NECT in a newborn with difficult vacuum-assisted delivery shows a small right and a large left cephalohematoma. Neither crosses the midline.</div></div><div class="stackItem"><img src="SDX-12_STATdx_annotated_Scalp_and_Skull_Injuries12_annot.jpg"><div class="stackCap">Coronal NECT in the same patient shows the small right and large left cephalohematomas. The elevated periosteum clearly separates the two blood collections.</div></div><div class="stackItem"><img src="SDX-13_STATdx_annotated_Scalp_and_Skull_Injuries13_annot.jpg"><div class="stackCap">Sagittal NECT shows the left parietal cephalohematoma does not cross the coronal suture .</div></div>	Most likely diagnosis?	Cephalohematoma<br><br>Caption-derived keyword findings:<br>small right and a large left<br>Neither crosses the midline<br>elevated periosteum<br>separates the two blood collections<br>does not cross the coronal suture<br><br>Reasoning: Multiple views show blood collections separated by elevated periosteum and bounded by sutures/midline. That suture-limited subperiosteal behavior is the defining feature of cephalohematoma.<br><br>Differential:<br>Subgaleal hematoma<br>Scalp laceration<br>Diffuse scalp edema																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Infant with head swelling G5T1L9C3V8QA	<img src="SDX-14_STATdx_plain_Scalp_and_Skull_Injuries14.jpg"><br><img src="SDX-15_STATdx_plain_Scalp_and_Skull_Injuries15.jpg">	<div class="stackItem"><img src="SDX-14_STATdx_annotated_Scalp_and_Skull_Injuries14_annot.jpg"><div class="stackCap">Axial T2 MR in an abused infant shows a very large mixed acute/subacute subgaleal hematoma crossing the sutures and extending over the face/orbits.</div></div><div class="stackItem"><img src="SDX-15_STATdx_annotated_Scalp_and_Skull_Injuries15_annot.jpg"><div class="stackCap">More cephalad axial T2 MR shows the mixed-age subgaleal hematoma crossing the midline.</div></div>	Most likely diagnosis?	Subgaleal hematoma<br><br>Caption-derived keyword findings:<br>very large mixed acute/subacute<br>crossing the sutures<br>extending over the face/orbits<br>crossing the midline<br><br>Reasoning: The collection crosses sutures and midline and extends broadly over the face/orbits, which is characteristic of a subgaleal hematoma rather than a suture-limited cephalohematoma. The mixed acute/subacute wording is source-stated but the recognition pivot remains the subgaleal distribution.<br><br>Differential:<br>Cephalohematoma<br>Scalp laceration<br>Diffuse scalp edema																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Patient after severe head trauma H8N2Q6R4V1KC	<img src="SDX-16_STATdx_plain_Scalp_and_Skull_Injuries16.jpg">	<div class="stackItem"><img src="SDX-16_STATdx_annotated_Scalp_and_Skull_Injuries16_annot.jpg"><div class="stackCap">Axial NECT (left) shows severe scalp laceration with a combination of elevated and depressed skull fractures. Axial bone CT (right) shows that the elevated fracture is literally "hinged" away from the calvarium.</div></div>	Most likely diagnosis?	Elevated skull fracture<br><br>Caption-derived keyword findings:<br>severe scalp laceration<br>combination of elevated and depressed skull fractures<br>elevated fracture<br>literally "hinged" away from the calvarium<br><br>Reasoning: The source defines elevated fracture as a fracture segment rotated or lifted away from the skull. The case directly shows a hinged-away calvarial fragment, with adjacent depressed fracture and scalp laceration as associated traumatic findings.<br><br>Differential:<br>Depressed skull fracture<br>Linear skull fracture<br>Normal suture																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Patient after severe head trauma J3K7M2T8Q5RC	<img src="SDX-17_STATdx_plain_Scalp_and_Skull_Injuries17.jpg"><br><img src="SDX-18_STATdx_plain_Scalp_and_Skull_Injuries18.jpg">	<div class="stackItem"><img src="SDX-17_STATdx_annotated_Scalp_and_Skull_Injuries17_annot.jpg"><div class="stackCap">Axial NECT shows a large subgaleal hematoma crossing the sagittal suture. Hyperdense vertex hematoma also crosses the midline, suggesting that the blood is in the epidural space.</div></div><div class="stackItem"><img src="SDX-18_STATdx_annotated_Scalp_and_Skull_Injuries18_annot.jpg"><div class="stackCap">Axial bone CT shows a diastatic fracture of the sagittal suture . A very large subgaleal hematoma extends around the entire circumference of the skull. The superior sagittal sinus is torn, and the intracranial blood seen on soft tissue windows was a vertex venous epidural hematoma.</div></div>	Most likely diagnosis?	Diastatic skull fracture<br><br>Caption-derived keyword findings:<br>large subgaleal hematoma<br>crossing the sagittal suture<br>diastatic fracture of the sagittal suture<br>extends around the entire circumference of the skull<br>superior sagittal sinus is torn<br>vertex venous epidural hematoma<br><br>Reasoning: The bone-window image shows widening of the sagittal suture, which is the defining feature of a diastatic fracture. The paired soft-tissue findings highlight the associated subgaleal hematoma and venous epidural hematoma from superior sagittal sinus injury.<br><br>Differential:<br>Normal suture<br>Linear skull fracture<br>Vascular groove																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
Patient after focal head impact K7V2P9L4X8QA	<img src="SDX-19_STATdx_plain_Scalp_and_Skull_Injuries19.jpg"><br><img src="SDX-20_STATdx_plain_Scalp_and_Skull_Injuries20.jpg">	<div class="stackItem"><img src="SDX-19_STATdx_annotated_Scalp_and_Skull_Injuries19_annot.jpg"><div class="stackCap">Axial NECT in a patient with a blow to the right side of the head shows a mildly depressed fracture . Note that the brain under the fracture appears quite normal.</div></div><div class="stackItem"><img src="SDX-20_STATdx_annotated_Scalp_and_Skull_Injuries20_annot.jpg"><div class="stackCap">Axial NECT with bone algorithm reconstruction and wide window display in the same patient shows a depressed, comminuted skull fracture involving the right squamous temporal bone. Note the subcutaneous air and soft tissue hematoma overlying the fracture.</div></div>	Most likely diagnosis?	Depressed skull fracture<br><br>Caption-derived keyword findings:<br>mildly depressed fracture<br>brain under the fracture appears quite normal<br>depressed, comminuted skull fracture<br>right squamous temporal bone<br>subcutaneous air<br>soft tissue hematoma<br><br>Reasoning: A calvarial fragment displaced inward defines a depressed fracture. The companion bone-window image confirms comminution in the right squamous temporal bone and shows overlying subcutaneous air/soft-tissue hematoma, supporting a traumatic fracture rather than a normal calvarial channel.<br><br>Differential:<br>Linear skull fracture<br>Vascular groove<br>Normal suture																<div><b>Scalp and Skull Injuries</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source for the scalp/skull injury article and image examples. Core Radiology support is limited to the captured cross-checks in core_evidence.txt: pediatric abuse fracture specificity, bone scintigraphy insensitivity for skull fractures, and general CT-versus-MRI trauma-fracture context.</div><div><b>Key distinctions</b><ul><li><b>Cephalohematoma:</b> subperiosteal, focal, and bounded by sutures.</li><li><b>Subgaleal hematoma:</b> under the scalp aponeurosis, extensive, crosses sutures/midline, and can be life-threatening in infants.</li><li><b>Growing skull fracture:</b> progressive widening/unhealing fracture from dural-arachnoid tear and CSF pulsations; CT shows rounded/scalloped lucency and MR can show CSF in the defect.</li><li><b>Fracture morphology:</b> linear, depressed, elevated, and diastatic patterns should be named before searching for complications.</li><li><b>Complications:</b> search for vascular injury, dural/arachnoid laceration with CSF leak, cranial nerve injury, pneumocephalus, EDH/SDH/SAH/contusion, and rare growing skull fracture.</li></ul></div><div><b>Core cross-check</b><ul><li>Isolated linear skull fracture is nonspecific for abuse.</li><li>Complex skull fractures that are depressed, multiple, bilateral, or cross sutures are suspicious for abuse.</li><li>Bone scintigraphy is insensitive for skull fractures.</li><li>CT is preferred for trauma fracture assessment when imaging is indicated; MRI is mainly for selected complications/soft-tissue or ligament questions.</li></ul></div>	
